species name,Sex,Overall appearance: &lt;Colouring&gt;,Length of prosoma [mm],Length of prosoma by range [mm],Length of femur I : &lt;relative to prosoma&gt;,Prosoma: &lt;appearance&gt;,Fovea clearly visible as darkened groove,Opisthosoma: &lt;appearance&gt;,Dorsal spines on femur I: &lt;count&gt;,Posterior eye row: &lt;form&gt;,Posterior median eye (PME) separation: &lt;relative to diameter (d)&gt;,Headregion of male: &lt;appearance&gt;,Eyes: &lt;appearance&gt;,Anterior median eyes: &lt;size relative to anterior lateral eyes ALE&gt;,Prolateral spines on femur I: &lt;count&gt;,Prolateral spines on tibia I: &lt;count&gt;,Anterior cheliceral teeth: &lt;appearance&gt;,Conspicuous structures on chelicerae: &lt;appearance&gt;,Maxillae: &lt;appearance&gt;,Sternum: &lt;appearance&gt;,Sternum: &lt;extends between coxae IV&gt;,Width of sternum between coxae IV: &lt;relative to width of coxae IV (d)&gt;,Position of trichobothrium on metatarsus I (TmI): &lt;relative to metatarsus&gt;,Position of TmI by range: &lt;relative to metatarsus&gt;,Metatarsus IV dorsally: &lt;presence of trichobothrium (TmIV)&gt;,Dorsal spines on metatarsus I: &lt;count&gt;,Tibia IV: &lt;number of dorsal spines&gt;,"Numbers of dorsal spines on tibia I, II, III, IV: &lt;tibial spine formula&gt;",Tibia I-II ventrally: &lt;presence of spines&gt;,Male pedipalp: femur &lt;appearance&gt;,Male pedipalp: patella &lt;appearance&gt;,Male pedipalp: tibia &lt;appearance&gt;,Male pedipalp: cymbium &lt;appearance&gt;,Male pedipalp: paracymbium &lt;form&gt;,Male pedipalp: branches of paracymbium &lt;presence of teeth&gt;,Male pedipalp: embolus &lt;appearance&gt;,Male pedipalp: lamella characteristica &lt;presence&gt;,Distribution,Female palp: claw &lt;presence&gt;,Epigyne: &lt;appearance&gt;,Epigyne: &lt;form&gt;,Epigyne: &lt;seminal receptacles&gt;,Description of any further conspicuous features:
"Agyneta affinis M (Kulczynski, 1898)",Male,"inconspicuous, generally dark",0.69,0.6-0.8,equal in length,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.27,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),"with multiple, simple apophyses",margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,"Albania | Austria | Belarus | Belgium | Bulgaria | Czechia | Denmark | Estonia | Finland | France | Germany | Hungary | Ireland | Italy | Latvia | Liechtenstein | Lithuania | Luxembourg | Montenegro | Netherlands | North Macedonia | Northern Ireland | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Kaliningrad Region | Russia, Northern | Russia, Southern | Russia, Western | Serbia | Slovakia | Slovenia | Spain | Sweden | Switzerland | Ukraine | United Kingdom |",,,,,Tibia I with retrolateral bristle
"Agyneta affinis W (Kulczynski, 1898)",Female,"inconspicuous, generally dark",0.75,0.6-0.8,equal in length,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.24,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,,,,,,,,,"Albania | Austria | Belarus | Belgium | Bulgaria | Czechia | Denmark | Estonia | Finland | France | Germany | Hungary | Ireland | Italy | Latvia | Liechtenstein | Lithuania | Luxembourg | Montenegro | Netherlands | North Macedonia | Northern Ireland | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Kaliningrad Region | Russia, Northern | Russia, Southern | Russia, Western | Serbia | Slovakia | Slovenia | Spain | Sweden | Switzerland | Ukraine | United Kingdom |",not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) not visible",Tibia I with retrolateral bristle
"Agyneta alpica M Tanasevitch, 2000",Male,"inconspicuous, generally dark",0.88,0.6-0.8; 0.8-1.0,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.24,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,unremarkable,unremarkable; with conspicuous spines (single or tufts),"with multiple, simple apophyses",with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Austria | France | Italy | Switzerland |,,,,,
"Agyneta arietans M (O. P.-Cambridge, 1872)",Male,"inconspicuous, generally dark",,0.6-0.8; 0.8-1.0,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,,unremarkable,smooth,yes,,,,trichobothrium present,none,two dorsal spines,2222,no spines,unremarkable,conspicuously swollen,"with multiple, simple apophyses",with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Germany | Italy | Poland | Romania |,,,,,
"Agyneta brusnewi M (Kulczynski, 1908)",Male,"inconspicuous, generally dark",0.65,0.6-0.8,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.23,0.30-0.39,trichobothrium absent,none,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),with simple apophysis; with one or more spines,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,"Russia, Eastern | Russia, Northern |",,,,,
"Agyneta brusnewi W (Kulczynski, 1908)",Female,"inconspicuous, generally dark",0.65,0.6-0.8,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.27,0.30-0.39,trichobothrium absent,none,two dorsal spines,2222,no spines,,,,,,,,,"Russia, Eastern | Russia, Northern |",not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) not visible",
"Agyneta cauta M (O. P.-Cambridge, 1902)",Male,"inconspicuous, generally dark",0.72,0.6-0.8,shorter than prosoma,inconspicuous,no,"unicolorous, inconspicuous",none,straight,distinctly less than d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.87,0.80-0.89,trichobothrium present,none,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),with simple apophysis,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,"Austria | Belarus | Belgium | Bulgaria | Czechia | Denmark | Estonia | Finland | France | Germany | Ireland | Italy | Latvia | Liechtenstein | Lithuania | Luxembourg | Netherlands | North Macedonia | Northern Ireland | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Kaliningrad Region | Russia, Northern | Russia, Western | Slovakia | Spain | Sweden | Switzerland | Ukraine | United Kingdom |",,,,,
"Agyneta cauta W (O. P.-Cambridge, 1902)",Female,"inconspicuous, generally dark",0.7,0.6-0.8,shorter than prosoma,inconspicuous,no,"unicolorous, inconspicuous",none,straight,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.81,0.80-0.89,trichobothrium present,none,two dorsal spines,2222,no spines,,,,,,,,,"Austria | Belarus | Belgium | Bulgaria | Czechia | Denmark | Estonia | Finland | France | Germany | Ireland | Italy | Latvia | Liechtenstein | Lithuania | Luxembourg | Netherlands | North Macedonia | Northern Ireland | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Kaliningrad Region | Russia, Northern | Russia, Western | Slovakia | Spain | Sweden | Switzerland | Ukraine | United Kingdom |",not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) visible",Female palp with strongly swollen tarsus
"Agyneta conigera M (O. P.-Cambridge, 1863)",Male,"inconspicuous, generally dark",0.88,0.8-1.0,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,with lobe (simple),normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.65,0.60-0.69,trichobothrium present,none,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),unremarkable,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth present,unremarkable,conspicuous,"Armenia | Austria | Azerbaijan | Belarus | Belgium | Czechia | Denmark | Estonia | Finland | France | France / Corsica | Georgia | Germany | Ireland | Italy | Latvia | Liechtenstein | Lithuania | Luxembourg | Netherlands | North Macedonia | Northern Ireland | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Kaliningrad Region | Russia, Northern | Russia, Southern | Russia, Western | Slovakia | Sweden | Switzerland | Ukraine | United Kingdom |",,,,,
"Agyneta conigera W (O. P.-Cambridge, 1863)",Female,"inconspicuous, generally dark",0.81,0.8-1.0,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.62,0.60-0.69,trichobothrium present,none,two dorsal spines,2222,no spines,,,,,,,,,"Armenia | Austria | Azerbaijan | Belarus | Belgium | Czechia | Denmark | Estonia | Finland | France | France / Corsica | Georgia | Germany | Ireland | Italy | Latvia | Liechtenstein | Lithuania | Luxembourg | Netherlands | North Macedonia | Northern Ireland | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Kaliningrad Region | Russia, Northern | Russia, Southern | Russia, Western | Slovakia | Sweden | Switzerland | Ukraine | United Kingdom |",not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) visible",Female palp with slightly swollen tarsus
"Agyneta decora M (O. P.-Cambridge, 1871)",Male,"inconspicuous, generally dark",0.78,0.6-0.8,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,procurved,equal to d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.83,0.80-0.89,trichobothrium present,none,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),with simple apophysis,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,"Belgium | Czechia | Denmark | Estonia | Faroe Islands | Finland | France | Germany | Iceland | Ireland | Latvia | Lithuania | Luxembourg | Netherlands | Northern Ireland | Norway | Poland | Russia, Eastern | Russia, Northern | Russia, Western | Slovakia | Sweden | Ukraine | United Kingdom |",,,,,
"Agyneta decora W (O. P.-Cambridge, 1871)",Female,"inconspicuous, generally dark",0.83,0.8-1.0,shorter than prosoma,inconspicuous,no,"unicolorous, inconspicuous",none,straight,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.86,0.80-0.89,trichobothrium present,none,two dorsal spines,2222,no spines,,,,,,,,,"Belgium | Czechia | Denmark | Estonia | Faroe Islands | Finland | France | Germany | Iceland | Ireland | Latvia | Lithuania | Luxembourg | Netherlands | Northern Ireland | Norway | Poland | Russia, Eastern | Russia, Northern | Russia, Western | Slovakia | Sweden | Ukraine | United Kingdom |",not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) visible",Female palp with strongly swollen tarsus
"Agyneta equestris M (L. Koch, 1881)",Male,"inconspicuous, generally dark",0.78,0.6-0.8,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.19,0.10-0.19,trichobothrium absent,none,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),"with multiple, simple apophyses",with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Austria | Bulgaria | Czechia | France | Germany | Italy | Liechtenstein | Lithuania | Poland | Slovakia | Slovenia | Spain | Switzerland | Ukraine |,,,,,
"Agyneta equestris W (L. Koch, 1881)",Female,"inconspicuous, generally dark",0.71,0.6-0.8,equal in length,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.2,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,,,,,,,,,Austria | Bulgaria | Czechia | France | Germany | Italy | Liechtenstein | Lithuania | Poland | Slovakia | Slovenia | Spain | Switzerland | Ukraine |,not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Agyneta fuscipalpa M (C. L. Koch, 1836)",Male,"inconspicuous, generally dark",0.91,0.8-1.0,equal in length,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,equal to d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.21,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),with simple apophysis,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,"Algeria | Austria | Azerbaijan | Belarus | Belgium | Bulgaria | Croatia | Cyprus | Czechia | Estonia | France | France / Corsica | Germany | Greece | Greece / Crete | Hungary | Italy | Kosovo | Lithuania | Moldova | Montenegro | Morocco | North Macedonia | Norway | Poland | Portugal | Romania | Russia, Central | Russia, Eastern | Russia, Southern | Russia, Western | Serbia | Slovakia | Slovenia | Spain | Spain / Balearic Islands | Switzerland | Tunisia | Ukraine | United Kingdom |",,,,,Femur with black longitidinal stripes
"Agyneta fuscipalpa W (C. L. Koch, 1836)",Female,"inconspicuous, generally dark",0.8,0.6-0.8; 0.8-1.0,equal in length,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.27,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,,,,,,,,,"Algeria | Austria | Azerbaijan | Belarus | Belgium | Bulgaria | Croatia | Cyprus | Czechia | Estonia | France | France / Corsica | Germany | Greece | Greece / Crete | Hungary | Italy | Kosovo | Lithuania | Moldova | Montenegro | Morocco | North Macedonia | Norway | Poland | Portugal | Romania | Russia, Central | Russia, Eastern | Russia, Southern | Russia, Western | Serbia | Slovakia | Slovenia | Spain | Spain / Balearic Islands | Switzerland | Tunisia | Ukraine | United Kingdom |",not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Agyneta gulosa M (L. Koch, 1869)",Male,"inconspicuous, generally dark",0.74,0.6-0.8,equal in length,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.22,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),"with multiple, simple apophyses",with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,"Austria | Bulgaria | Faroe Islands | Finland | France | France / Corsica | Germany | Ireland | Italy | Latvia | Liechtenstein | Northern Ireland | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Northern | Slovakia | Slovenia | Spain | Sweden | Switzerland | Ukraine | United Kingdom |",,,,,Basal segment of chelicera with protuberances
"Agyneta gulosa W (L. Koch, 1869)",Female,"inconspicuous, generally dark",0.73,0.6-0.8,equal in length,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.22,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,,,,,,,,,"Austria | Bulgaria | Faroe Islands | Finland | France | France / Corsica | Germany | Ireland | Italy | Latvia | Liechtenstein | Northern Ireland | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Northern | Slovakia | Slovenia | Spain | Sweden | Switzerland | Ukraine | United Kingdom |",not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) not visible",
"Agyneta innotabilis M (O. P.-Cambridge, 1863)",Male,"inconspicuous, generally dark",0.74,0.6-0.8,equal in length,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.24,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),unremarkable,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,"Austria | Belarus | Belgium | Czechia | Denmark | Estonia | Finland | France | France / Corsica | Germany | Ireland | Italy | Liechtenstein | Lithuania | Montenegro | Netherlands | Northern Ireland | Norway | Poland | Russia, Eastern | Russia, Kaliningrad Region | Serbia | Slovakia | Slovenia | Sweden | Switzerland | Turkey (Asia) | Ukraine | United Kingdom |",,,,,PME very large
"Agyneta innotabilis W (O. P.-Cambridge, 1863)",Female,"inconspicuous, generally dark",0.71,0.6-0.8,equal in length,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.25,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,"Austria | Belarus | Belgium | Czechia | Denmark | Estonia | Finland | France | France / Corsica | Germany | Ireland | Italy | Liechtenstein | Lithuania | Montenegro | Netherlands | Northern Ireland | Norway | Poland | Russia, Eastern | Russia, Kaliningrad Region | Serbia | Slovakia | Slovenia | Sweden | Switzerland | Turkey (Asia) | Ukraine | United Kingdom |",not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) visible",PME very large
"Agyneta milleri M (Thaler, Buchar & Kurka, 1997)",Male,conspicuous contrast legs/prosoma,0.8,0.6-0.8; 0.8-1.0,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.26,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,unremarkable,unremarkable,"with multiple, simple apophyses",with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Czechia | Romania | Slovakia | Ukraine |,,,,,
